categoria,puntaje,fuente,codigo,nombre,organismo,region,fecha_cierre,monto,moneda,url,razones
excelente,100,compra_agil,5067-2088-COT26,Sol.92492 CC140 / Insumos de Cafetería,UNIVERSIDAD DE SANTIAGO DE CHILE,Región Metropolitana de Santiago,2026-09-02 17:00,341870.0,CLP,https://www.mercadopublico.cl/Home/Search?k=5067-2088-COT26,"Ítem UNSPSC 50201706 (Café) | Pide café en grano o de especialidad | Compra de café o insumos de cafetería | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte) | Encaja con suministro de café (tu rubro)"
excelente,100,compra_agil,2701-599-COT26,"Insumos de cafetería requeridos por Depto. Prensa y Relaciones Públicas, según Anexo 0286 (Inst. 248, anexo278) Fiesta de la Chilenidad de Lonquén",I MUNICIPALIDAD DE TALAGANTE,Región Metropolitana de Santiago,2026-09-03 10:00,800000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2701-599-COT26,"Ítem UNSPSC 50201706 (Café) | Menciona café tostado | Compra de café o insumos de cafetería | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte) | Encaja con suministro de café (tu rubro)"
excelente,85,compra_agil,1211992-225-COT26,ADQUISICION DE CAFE E INSUMOS,CORPORACIÓN YUNUS,Región Metropolitana de Santiago,2026-09-02 10:13,5970000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1211992-225-COT26,"Pide café en grano o de especialidad | Compra de café o insumos de cafetería | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte) | Encaja con suministro de café (tu rubro)"
excelente,85,compra_agil,889473-1704-COT26,SC 8672 - Insumos de cafetería,UNIVERSIDAD DE O'HIGGINS,Región del Libertador General Bernardo O´Higgins,2026-09-02 12:08,71400.0,CLP,https://www.mercadopublico.cl/Home/Search?k=889473-1704-COT26,"Pide café en grano o de especialidad | Compra de café o insumos de cafetería | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte) | Encaja con suministro de café (tu rubro)"
excelente,72,compra_agil,2710-415-COT26,"ALIMENTOS NO PERESIBLE (CAFÉ, TÉ, ENDULZANTE), SOLICITUD N°2058/2026, CONVENIO MAIS CESFAM MMO.",MUNICIPALIDAD DE OVALLE,Región de Coquimbo ,2026-09-02 08:30,285600.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2710-415-COT26,"Ítem UNSPSC 50201706 (Café) | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte) | Encaja con suministro de café (tu rubro)"
excelente,72,compra_agil,3869-701-COT26,GALLETAS Y CAFE,I MUNICIPALIDAD DE GORBEA,Región de la Araucanía ,2026-09-02 13:00,200000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3869-701-COT26,"Ítem UNSPSC 50201706 (Café) | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte) | Encaja con suministro de café (tu rubro)"
buena,67,compra_agil,5178-4576-COT26,SERVICIO DE COFFE/SP 1067991/BA ,UNIVERSIDAD DE CHILE,Región del Maule ,2026-09-02 16:00,375000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=5178-4576-COT26,"Pide café en grano o de especialidad | Habla de origen, arábica o especialidad | Es un servicio de coffee break o catering"
buena,56,compra_agil,1229788-51-COT26,ARTÍCULOS PARA ESTACION DE CAFÉ - M.E.L. SAMU SERVICIO DE SALUD COQUIMBO.,SERVICIO DE SALUD COQUIMBO,Región de Coquimbo ,2026-09-02 09:00,297500.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1229788-51-COT26,"Ítem UNSPSC 50201706 (Café) | Incluye cafetera, molino o máquina en comodato | Encaja con suministro de café (tu rubro)"
buena,50,compra_agil,2333-594-COT26,"TE, CAFE, GALLETAS Y OTROS ",I MUNICIPALIDAD DE LINARES,Región del Maule ,2026-09-02 11:00,811500.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2333-594-COT26,Ítem UNSPSC 50201706 (Café) | Encaja con suministro de café (tu rubro)
buena,50,compra_agil,3141-162-COT26,INSUMOS PARA COFFE,I MUNICIPALIDAD DE LAGO RANCO,Región de Los Ríos,2026-09-02 15:00,163277.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3141-162-COT26,Ítem UNSPSC 50201706 (Café) | Encaja con suministro de café (tu rubro)
buena,50,compra_agil,1469-2761-COT26,2000043452 compra capsulas de café,UNIVERSIDAD DE TALCA,Región del Maule ,2026-09-02 16:01,1100000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1469-2761-COT26,Ítem UNSPSC 50201706 (Café) | Encaja con suministro de café (tu rubro)
regular,40,compra_agil,721-97-COT26,SGE Adquisición de insumos de cafetería para Consejo Directivo y Reuniones en CAPREDENA segundo semestre 2026,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Región Metropolitana de Santiago,2026-09-03 12:00,380000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=721-97-COT26,"Compra de café o insumos de cafetería | Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte)"
regular,22,compra_agil,2803-160-COT26,"Departamento de salud municipal de Los Andes (DESAM), solicita cotización por VASOS TÉRMICOS, CAFÉ Y TÉ. ",MUNICIPALIDAD DE LOS ANDES,Región de Valparaíso ,2026-09-02 10:00,100000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2803-160-COT26,"Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte)"
regular,22,compra_agil,4152-662-COT26,"GALLETAS, CAFE, TE ETC",MUNICIPALIDAD DE HUALPEN,Región del Biobío ,2026-09-02 12:00,400000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=4152-662-COT26,"Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte)"
regular,22,compra_agil,1274189-393-COT26,"IInsumos Alimenticios: galletas, mani, café, casos, cajas organizadoras, cucharas de madera - Dirección de Salud - Solic nro - 0437",CORPORACION DE DESARROLLO SOCIAL DE BUIN,Región Metropolitana de Santiago,2026-09-02 15:00,252000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1274189-393-COT26,"Pide café instantáneo o tipo Nescafé (equivalente posible, no es tu fuerte)"
servicio,26,compra_agil,4433-73-COT26,COFFE,I MUNICIPALIDAD PAIHUANO,Región de Coquimbo ,2026-09-02 10:00,180000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=4433-73-COT26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,compra_agil,3505-186-COT26,ADQUISICION DE COLACIONES Y COFFE PARA REALIZACION DEL CAMPEONATO COMUNAL ESCOLAR DE CUECA AÑO 2026,I MUNICIPALIDAD DE PENCAHUE,Región del Maule ,2026-09-02 15:10,450000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3505-186-COT26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,compra_agil,3517-155-COT26,Coffe para actividad programa Mas AMA del DSM Traiguén ,I MUNICIPALIDAD DE TRAIGUEN,Región de la Araucanía ,2026-09-02 15:49,350000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3517-155-COT26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,compra_agil,1028897-528-COT26, SERVICIO DE COFFE PARA ESCUELA PUBLICA JUAN XXIII DEL SERVICIO LOCAL DE EDUCACION PUBLICA COSTA ARAUCANIA,SERVICIO LOCAL DE EDUCACION COSTA ARAUCANIA,Región de la Araucanía ,2026-09-02 16:00,630000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=1028897-528-COT26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,compra_agil,2594-675-COT26,SERVICIO DE COFFE ANIVERSARIO DEFENSA CIVIL. (OFICINA DIDECO).,I MUNICIPALIDAD DE CONCON,Región de Valparaíso ,2026-09-03 08:00,700000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2594-675-COT26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,compra_agil,3986-300-COT26,SERVICIO DE COFFE PARA: ADULTO MAYOR-PASAMOS AGOSTO Y COLACIONES,MUNICIPALIDAD DE CORRAL,Región de Los Ríos,2026-09-03 09:00,3890000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3986-300-COT26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,compra_agil,4433-77-COT26,COFFE SALUDABLE PROMOCION,I MUNICIPALIDAD PAIHUANO,Región de Coquimbo ,2026-09-03 10:00,160000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=4433-77-COT26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,licitacion,1057384-134-L126,COFFE BREAK PARA ATIVIDAD DE MONITORES COMUNITARIOS,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL M,Región Metropolitana de Santiago,2026-09-03T16:27:00,,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057384-134-L126,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,26,licitacion,1237328-58-LE26,Suministro Servicio Coffe Break APS,CORP MUNICIPAL DE PUNTA ARENAS PARA LA EDUCACION SALUD Y AT AL MENOR,Región de Magallanes y de la Antártica,2026-09-07T19:49:00,,CLP,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1237328-58-LE26,Es un servicio de coffee break o catering | Código de servicio de cafetería/catering
servicio,20,compra_agil,3892-310-COT26,SERVICIO DE COFFE BREAK PARA DIAS DE CAPACITACION ESC G-501,I MUNICIPALIDAD DE LEBU,Región del Biobío ,2026-09-02 08:00,300000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3892-310-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,5956-105-COT26,SERVICIO DE COFFE BREAK PARA ESTUDIANTES Y ACADÉMICOS/AS DE LA FACULTAD DE HUMANIDADES “I y II CLAUSTRO 2026”,UNIVERSIDAD DE ATACAMA,Región de Atacama ,2026-09-02 09:00,1200000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=5956-105-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,2366-455-COT26,COFFE BREAK CON ARRIENDO DE SALÓN CURSO PRESENCIAL DENOMINADO PROGRAMACIÓN NEUROLINGUISTICA DEL 21 AL 24 DE SEPTIEMBRE PARA 36 FUNCIONARIOS.,I MUNICIPALIDAD DE ARICA,Región de Arica y Parinacota,2026-09-02 10:00,2150000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2366-455-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,2078-389-COT26,Serv. Coffee break (86) Seminario Fiebre Q y Zoonosis Pecuaria. OOEE Zoonosis Arauco SC 409,SUBSECRETARIA DE SALUD PUBLICA,Región del Biobío ,2026-09-02 10:00,500000.0,CLP,https://www.mercadopublico.cl/Home/Search?k=2078-389-COT26,Es un servicio de coffee break o catering
servicio,20,compra_agil,3593-325-COT26,servicios de coffe break,ILUSTRE MINICIPALIDAD DE COMBARBALA,Región de Coquimbo ,2026-09-02 10:00,1559997.0,CLP,https://www.mercadopublico.cl/Home/Search?k=3593-325-COT26,Es un servicio de coffee break o catering
